Simulation ID-3932
===================

1) General info 
-------------------
Simulation type: SIR
Thread ID: 6

2) Initial populations 
-------------------
Susceptible: 129
Infected: 3
Recovered: 0

3) Initial parameters 
-------------------
Mortality rate (m): 0.00166423
Infected mortality rate (v): 0.0207643
Recovery rate (r): 0.187872
Incubation period (I): 0.162586
Infection rate (b): 0.539701

4) Active events 
-------------------
Vaccination

5) Simulation report 
-------------------

| Time  | Susceptible | Infected | Recovered | Total Population | ||| | Births | Deaths - Susceptible | Deaths - Infected | Deaths - Recovered | Deaths - Due To Infection | Deaths - Total | 
|2.755  |24           |31        |70         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.770  |24           |30        |71         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.785  |23           |31        |71         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.799  |23           |30        |72         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.814  |22           |31        |72         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.829  |22           |30        |73         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.844  |22           |29        |74         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.860  |22           |28        |75         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.877  |22           |27        |76         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.893  |22           |26        |77         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.911  |21           |27        |77         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.928  |21           |26        |78         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.946  |20           |26        |78         |124               | ||| |3       |5                     |1                  |0                   |5                          |11              |
|2.964  |20           |25        |79         |124               | ||| |3       |5                     |1                  |0                   |5                          |11              |
|2.982  |20           |24        |80         |124               | ||| |3       |5                     |1                  |0                   |5                          |11              |
|3.002  |21           |24        |80         |125               | ||| |4       |5                     |1                  |0                   |5                          |11              |
|3.021  |21           |23        |81         |125               | ||| |4       |5                     |1                  |0                   |5                          |11              |
|3.041  |22           |23        |81         |126               | ||| |5       |5                     |1                  |0                   |5                          |11              |
|3.061  |22           |22        |82         |126               | ||| |5       |5                     |1                  |0                   |5                          |11              |
|3.081  |22           |21        |83         |126               | ||| |5       |5                     |1                  |0                   |5                          |11              |
|3.103  |22           |20        |84         |126               | ||| |5       |5                     |1                  |0                   |5                          |11              |
|3.125  |21           |21        |84         |126               | ||| |5       |5                     |1                  |0                   |5                          |11              |
|3.147  |21           |20        |85         |126               | ||| |5       |5                     |1                  |0                   |5                          |11              |
|3.170  |21           |19        |86         |126               | ||| |5       |5                     |1                  |0                   |5                          |11              |
|3.194  |21           |18        |87         |126               | ||| |5       |5                     |1                  |0                   |5                          |11              |
|3.219  |20           |19        |87         |126               | ||| |5       |5                     |1                  |0                   |5                          |11              |
|3.243  |19           |20        |87         |126               | ||| |5       |5                     |1                  |0                   |5                          |11              |
|3.266  |19           |19        |88         |126               | ||| |5       |5                     |1                  |0                   |5                          |11              |
|3.291  |19           |18        |89         |126               | ||| |5       |5                     |1                  |0                   |5                          |11              |
|3.317  |19           |17        |90         |126               | ||| |5       |5                     |1                  |0                   |5                          |11              |
|3.344  |18           |18        |90         |126               | ||| |5       |5                     |1                  |0                   |5                          |11              |
|3.370  |18           |17        |91         |126               | ||| |5       |5                     |1                  |0                   |5                          |11              |
|3.398  |18           |16        |91         |125               | ||| |5       |5                     |1                  |0                   |6                          |12              |
|3.427  |19           |16        |91         |126               | ||| |6       |5                     |1                  |0                   |6                          |12              |
|3.456  |19           |15        |92         |126               | ||| |6       |5                     |1                  |0                   |6                          |12              |
|3.486  |18           |16        |92         |126               | ||| |6       |5                     |1                  |0                   |6                          |12              |
|3.515  |18           |15        |93         |126               | ||| |6       |5                     |1                  |0                   |6                          |12              |
|3.546  |19           |15        |93         |127               | ||| |7       |5                     |1                  |0                   |6                          |12              |
|3.577  |19           |14        |94         |127               | ||| |7       |5                     |1                  |0                   |6                          |12              |
|3.609  |19           |13        |95         |127               | ||| |7       |5                     |1                  |0                   |6                          |12              |
|3.644  |18           |14        |95         |127               | ||| |7       |5                     |1                  |0                   |6                          |12              |
|3.677  |18           |13        |96         |127               | ||| |7       |5                     |1                  |0                   |6                          |12              |
|3.712  |18           |12        |97         |127               | ||| |7       |5                     |1                  |0                   |6                          |12              |
|3.750  |18           |12        |96         |126               | ||| |7       |5                     |1                  |1                   |6                          |13              |
|3.788  |17           |13        |96         |126               | ||| |7       |5                     |1                  |1                   |6                          |13              |
|3.824  |17           |12        |97         |126               | ||| |7       |5                     |1                  |1                   |6                          |13              |
|3.862  |17           |11        |98         |126               | ||| |7       |5                     |1                  |1                   |6                          |13              |
|3.903  |16           |11        |98         |125               | ||| |7       |6                     |1                  |1                   |6                          |14              |
|3.945  |17           |11        |98         |126               | ||| |8       |6                     |1                  |1                   |6                          |14              |
|3.987  |17           |10        |99         |126               | ||| |8       |6                     |1                  |1                   |6                          |14              |
|4.032  |17           |9         |100        |126               | ||| |8       |6                     |1                  |1                   |6                          |14              |
|4.081  |16           |10        |100        |126               | ||| |8       |6                     |1                  |1                   |6                          |14              |
|4.127  |16           |9         |101        |126               | ||| |8       |6                     |1                  |1                   |6                          |14              |
|4.177  |16           |8         |102        |126               | ||| |8       |6                     |1                  |1                   |6                          |14              |
|4.232  |16           |7         |103        |126               | ||| |8       |6                     |1                  |1                   |6                          |14              |
|4.294  |15           |8         |103        |126               | ||| |8       |6                     |1                  |1                   |6                          |14              |
|4.350  |15           |7         |104        |126               | ||| |8       |6                     |1                  |1                   |6                          |14              |
|4.412  |16           |7         |104        |127               | ||| |9       |6                     |1                  |1                   |6                          |14              |
|4.474  |16           |6         |105        |127               | ||| |9       |6                     |1                  |1                   |6                          |14              |
|4.544  |16           |6         |104        |126               | ||| |9       |6                     |1                  |2                   |6                          |15              |
|4.614  |16           |5         |105        |126               | ||| |9       |6                     |1                  |2                   |6                          |15              |
|4.694  |16           |4         |106        |126               | ||| |9       |6                     |1                  |2                   |6                          |15              |
|4.790  |16           |3         |106        |125               | ||| |9       |6                     |1                  |2                   |7                          |16              |
|4.906  |16           |2         |107        |125               | ||| |9       |6                     |1                  |2                   |7                          |16              |
|5.056  |17           |2         |107        |126               | ||| |10      |6                     |1                  |2                   |7                          |16              |
|5.204  |17           |1         |108        |126               | ||| |10      |6                     |1                  |2                   |7                          |16              |
|5.412  |17           |1         |107        |125               | ||| |10      |6                     |1                  |3                   |7                          |17              |
|5.620  |17           |0         |108        |125               | ||| |10      |6                     |1                  |3                   |7                          |17              |

6) Simulation preview 
-------------------

| Time  | Susceptible | Infected | Recovered | Total Population | ||| | Births | Deaths - Susceptible | Deaths - Infected | Deaths - Recovered | Deaths - Due To Infection | Deaths - Total | 
|0.000  |129          |3         |0          |132               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|5.620  |17           |0         |108        |125               | ||| |10      |6                     |1                  |3                   |7                          |17              |
